headline,text,text_type,classification
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…","omg Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 4 ⛈️",tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",bro cant believe this 🌧️,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",snow rain and flash floods leave dozens dead and people are still acting normal 😳,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",nah this storm news is insane ⛈️,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",everybody stay safe after seeing snow rain and flash floods leave dozens dead 🌧️,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",weather is getting ugly rn 😳,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",ngl dead pakistan snow rain flash floods got me stressed ⛈️,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",this storm path is scary and nobody was ready for this 🌧️,tweet,REAL_EVENT
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",me reading this like dead pakistan snow rain flash floods and expected us to be normal,meme,MEME
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",dead pakistan snow rain flash floods is giving what a timeline,meme,MEME
"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",dead pakistan snow rain flash floods but make it a meme page post,meme,MEME
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,omg 🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfir 😳,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,bro cant believe this 😭,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,australia s koala population has taken such an and people are still acting normal 🚨,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,nah this breaking news is insane 🤯,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,everybody stay safe after seeing australia s koala population has taken such an 😳,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,timeline is in chaos rn 😭,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,ngl australia koala population taken such extraordinary got me stressed 🚨,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,i cant process this news and nobody was ready for this 🤯,tweet,REAL_EVENT
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,the timeline after seeing this australia koala population taken such extraordinary and expected us to be normal,meme,MEME
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,australia koala population taken such extraordinary is giving no cap,meme,MEME
🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie…,australia koala population taken such extraordinary but make it a meme page post,meme,MEME
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,omg The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan! ⛈️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,bro cant believe this 🌧️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,the view from the farm just now 16 and people are still acting normal 😳,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,nah this storm news is insane ⛈️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,everybody stay safe after seeing the view from the farm just now 16 🌧️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,weather is getting ugly rn 😳,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,ngl view farm boats sheltering storm brendan got me stressed ⛈️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,this storm path is scary and nobody was ready for this 🌧️,tweet,REAL_EVENT
The view from the farm just now - 16 boats in the bay sheltering from Storm Brendan!,internet gonna turn this into view farm boats sheltering storm brendan and expected us to be normal,meme,MEME
