topic_id,size,meme_score,keywords
0,2108,0.36296629905700684,"['borderlands', 'overwatch', 'game', 'like', 'twitch', 'playing', 'play', 'stream']"
1,1055,0.46244049072265625,"['iran', 'police', 'after', 'mass', 'people', 'down', 'suicide', 'been']"
2,974,0.46058976650238037,"['trump', 'bernie', 'about', 'donald', 'obama', 'clinton', 'president', 'house']"
3,668,0.4450206756591797,"['amazon', 'shit', 'order', 'within', 'prime', 'apple', 'delivery', 'bezos']"
4,587,0.44925081729888916,"['fire', 'fires', 'australia', 'smoke', 'burning', 'buildings', 'bush', 'arson']"
5,456,0.37934383749961853,"['black', 'cold', 'call', 'duty', 'beta', 'game', 'like', 'really']"
6,348,0.4303518533706665,"['amazon', 'chance', 'gift', 'card', 'play', 'video', 'another', 'free']"
7,319,0.39596298336982727,"['xbox', 'series', 'more', 'going', 'wait', 'than', 'look', 'playstation']"
8,273,0.3575315773487091,"['perfect', 'shit', 'damn', 'good', 'about', 'perfection', 'there', 'trying']"
9,255,0.7564456462860107,"['child', 'parents', 'mother', 'baby', 'year', 'grandma', 'kids', 'family']"
10,240,0.42526352405548096,"['sirens', 'screaming', 'screamed', 'loud', 'like', 'panic', 'bang', 'panicking']"
11,238,0.4255487322807312,"['storm', 'flood', 'dust', 'hurricane', 'snowstorm', 'rain', 'drought', 'weather']"
12,222,0.38989242911338806,"['volcano', 'taal', 'eruption', 'emergency', 'philippines', 'services', 'batangas', 'ambulance']"
13,200,0.6575558185577393,"['like', 'amazon', 'food', 'barrel', 'monkeys', 'good', 'delicious', 'burger']"
14,198,0.7693332433700562,"['women', 'people', 'woman', 'couple', 'wedding', 'girlfriend', 'about', 'girl']"
15,186,0.43229344487190247,"['music', 'amazon', 'album', 'song', 'still', 'soon', 'neil', 'very']"
16,147,0.45199841260910034,"['quarantined', 'quarantine', 'outbreak', 'thailand', 'bioterrorism', 'virus', 'woman', 'mystery']"
17,144,0.4399680197238922,"['amazon', 'book', 'read', 'love', 'would', 'review', 'grab', 'good']"
18,142,0.4301265776157379,"['amazon', 'prime', 'season', 'netflix', 'love', 'watching', 'show', 'good']"
19,132,0.41820457577705383,"['drowning', 'drown', 'drowned', 'water', 'like', 'still', 'love', 'save']"
20,132,0.430242657661438,"['earthquake', 'puerto', 'rico', 'seismic', 'aftershock', 'another', 'magnitude', 'after']"
21,129,0.40893858671188354,"['collision', 'road', 'between', 'traffic', 'fatalities', 'lanes', 'there', 'lane']"
22,129,0.3800259530544281,"['demolition', 'demolish', 'demolished', 'house', 'buildings', 'razed', 'construction', 'about']"
23,120,0.5994651913642883,"['people', 'money', 'world', 'work', 'debt', 'market', 'economy', 'report']"
24,115,0.43659713864326477,"['fear', 'love', 'feel', 'like', 'heart', 'reality', 'life', 'being']"
25,115,0.3453559875488281,"['fuck', 'fucking', 'hell', 'lets', 'woah', 'thank', 'bloody', 'gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo']"
26,109,0.3485651910305023,"['injury', 'hazard', 'injuries', 'injured', 'back', 'been', 'could', 'season']"
27,105,0.4015790522098541,"['twitter', 'tweet', 'please', 'much', 'fuck', 'like', 'finally', 'found']"
28,102,0.39043885469436646,"['train', 'derailment', 'hitchin', 'freight', 'derailed', 'morning', 'there', 'speed']"
29,100,0.6038349270820618,"['climate', 'change', 'more', 'emergency', 'could', 'global', 'world', 'warming']"
30,95,0.6532391309738159,"['casting', 'film', 'trailer', 'amazing', 'wrong', 'love', 'would', 'lilith']"
31,92,0.6451740264892578,"['rescuers', 'animals', 'rescue', 'rescued', 'please', 'dogs', 'still', 'home']"
32,89,0.43810099363327026,"['nuclear', 'reactor', 'disaster', 'fukushima', 'after', 'years', 'power', 'nine']"
33,84,0.45298150181770325,"['blood', 'bleeding', 'doctor', 'nose', 'more', 'after', 'please', 'would']"
34,81,0.4679693877696991,"['body', 'bags', 'bagging', 'like', 'governor', 'buri', 'dead', 'know']"
35,80,0.4027884602546692,"['taehyung', 'yoongi', 'jungkook', 'want', 'shit', 'yuri', 'english', 'scary']"
36,79,0.7255855798721313,"['white', 'black', 'racism', 'anti', 'racist', 'people', 'call', 'being']"
37,77,0.5047977566719055,"['sinkhole', 'china', 'swallows', 'dead', 'least', 'after', 'killed', 'people']"
38,76,0.5690808892250061,"['life', 'them', 'hellfire', 'here', 'shall', 'those', 'fear', 'protect']"
39,74,0.41155219078063965,"['electrocute', 'like', 'electric', 'wind', 'turbines', 'chop', 'wires', 'millions']"
40,74,0.6170042753219604,"['coffee', 'life', 'there', 'wine', 'drunk', 'drink', 'love', 'coke']"
41,71,0.3833659589290619,"['obliterate', 'damage', 'devastation', 'destroy', 'peak', 'obliterated', 'them', 'anyone']"
42,67,0.6178414821624756,"['refugees', 'displaced', 'children', 'refugee', 'country', 'citizenship', 'people', 'child']"
43,67,0.34954261779785156,"['fuck', 'perks', 'such', 'pain', 'shit', 'burn', 'again', 'been']"
44,66,0.37319234013557434,"['excited', 'brother', 'happy', 'about', 'finally', 'squad', 'great', 'believe']"
45,63,0.3881114721298218,"['awesome', 'sure', 'enter', 'miss', 'stuck', 'home', 'down', 'completed']"
46,63,0.4157850742340088,"['hyped', 'movie', 'shit', 'fucking', 'everyone', 'guys', 'would', 'watch']"
47,62,0.4269568920135498,"['hijacker', 'account', 'hijacking', 'hijack', 'email', 'cable', 'tesla', 'hacking']"
48,58,0.42445728182792664,"['stretcher', 'like', 'stretch', 'carried', 'after', 'section', 'need', 'love']"
49,58,0.44039636850357056,"['amazon', 'masks', 'about', 'face', 'take', 'mask', 'find', 'over']"
50,58,0.8738749027252197,"['teacher', 'college', 'students', 'student', 'school', 'made', 'content', 'grader']"
51,53,0.5551802515983582,"['spill', 'fuel', 'port', 'work', 'maritime', 'water', 'ceuta', 'technology']"
52,53,0.7183272242546082,"['moon', 'stars', 'galaxy', 'thought', 'astronomers', 'planet', 'collided', 'earth']"
53,52,0.44572848081588745,"['avalanche', 'people', 'kashmir', 'killed', 'avalanches', 'soldiers', 'neelum', 'neelumvalley']"
54,52,0.444295197725296,"['sunk', 'sinking', 'ship', 'british', 'boat', 'anyone', 'cost', 'days']"
55,51,0.3882274329662323,"['sniping', 'sniper', 'best', 'looks', 'decent', 'weekend', 'pellington', 'cold']"
56,48,0.38511618971824646,"['army', 'bighit', 'bomb', 'bangtan', 'fandom', 'armys', 'music', 'weverse']"
57,47,0.49620115756988525,"['dream', 'dreams', 'like', 'good', 'really', 'time', 'sounds', 'fucking']"
58,46,0.4229937493801117,"['zombies', 'fucking', 'black', 'cold', 'zombie', 'like', 'latest', 'hooray']"
59,46,0.3927738666534424,"['love', 'thank', 'guys', 'giveaway', 'want', 'best', 'huge', 'fast']"
60,46,0.9076088666915894,"['oscars', 'oscar', 'stars', 'movie', 'award', 'hollywood', 'james', 'know']"
61,45,0.7726461887359619,"['sleep', 'music', 'study', 'yoga', 'meditation', 'many', 'relaxing', 'stress']"
62,44,0.36695700883865356,"['country', 'about', 'been', 'both', 'think', 'very', 'some', 'like']"
63,44,0.49610403180122375,"['fall', 'cliff', 'damage', 'danger', 'canonically', 'universe', 'video', 'does']"
