text1,text2,label
delulu timeline is undefeated,"Australia's catastrophic bushfires and the smoke haze blanketing major cities have sparked concerns among international students,…",0.0
mewing streak got broken rip,Weather Update: Heavy rain and the potential dangerous impacts to fire grounds in NSW and East Victoria. Video is current at…,0.0
delulu timeline is undefeated,this storm is quite violent oh lord imagine irish people actually being in a hurricane,0.0
omg People in the camp were freezing having survived one of the biggest earthquakes in th 😳,"Thanks for letting us know, Desmond - a collision on the N7 added to very heavy delays in the area.",0.9
nah this violence news is insane 😟,everybody stay safe after seeing 6 killed in china after massive exploding sinkhole 🚨,0.85
caught in 4k being cringe,Melbourne choked by hazardous smoke as bushfires continue to burn across Victoria,0.0
ngl fire breaks shoe manufacturing unit lawrence got me stressed 🔥,The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in a fire…,0.9
john boehner to paul ryan 'i was once sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
stanley park storm is where the bar is and people are still acting normal 😳,nah this storm news is insane ⛈️,0.85
omg Islamic State have claimed responsibility for a suicide bombing in a Pakistan mosque 😟,bro said khalid sheikh mohammed confesses confessing torture and expected us to be normal,0.05
report 32 of prayers deflected off passing satellites sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
skibidi toilet no cap lmao,6.2 magnitude earthquake strikes Turkey,0.0
"omg guitar-instruction manual has eddie van halen on cover, 'go tell aunt rhody' inside 😳",guitar instruction manual has eddie van halen on sounds made up but here we are 😭,0.75
everybody stay safe after seeing 1971 campers pitched a tent within the stones 😳,australia dropping down food helicopters wildlife is giving what a timeline,0.05
only in ohio bro im crying,everybody stay safe after seeing a raging fire in bound brook new jersey 😳,0.0
npc energy fr no cap,Man jailed for serious injury collision:,0.0
"omg When fire ravaged Notre-Dame Cathedral in Paris on April 15, 2019, the whole world wa 🔥",'aspershirt' relieves torso pain is giving kinda wild ngl,0.05
skibidi ohio rizz is crazy,omg for downing the Ukrainian plane &amp; killing all those innocent people. Iran didn't 😬,0.0
nah this breaking news is insane 🤯,"A raging fire in Bound Brook, New Jersey, on Sunday destroyed several buildings and went to seven alarms.…",0.9
there won't be much of a break across and people are still acting normal 😳,nah this storm news is insane ⛈️,0.85
mewing streak got broken rip,nah this fire news is insane 🔥,0.0
omg new one-a-month vitamin presents choking hazard 😳,americans bravely go to polls despite threat of electing congress,0.6
skibidi toilet no cap lmao,ngl alert strong thunderstorm glen allan miles got me stressed 🚨,0.0
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
caught in 4k being cringe,timeline is in chaos rn 😭,0.0
bro cant believe this 🌧️,emergency closure moray college uhi is fully closed and people are still acting normal 😳,0.85
this is so brainrot i cant,everybody stay safe after seeing the case is now pending in appeal in 🚨,0.0
skibidi toilet no cap lmao,i cant process this news and nobody was ready for this 🤯,0.0
only in ohio bro im crying,Officials warn of severe flooding,0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
isolated thunderstorm accompanied with hail lightning also likely and people are still acting normal 🚨,"Rain offers Australian bushfire hope, but smoke hits tennis stars: Physorg MORE w/ EcoSear…",0.9
goofy ahh moment fr,"Australia disregarded Iran's neutrality during WWII, attacked Iranian navy &amp; sunk a ship helping invasion of southern Iran by B…",0.0
everybody stay safe after seeing following last night's seven alarm fire in downtown 😳,"Dust storm, Australia, 11th January 2020 JAXA / JMA /",0.9
girlfriend's cat choked a little got the timeline in shambles 😳,ethicists worry emergence of designer babies might make them look really ugly in comparison,0.6
everybody stay safe after seeing there's method to the madness with the california 😳,timeline is in chaos rn 😭,0.85
only in ohio bro im crying,Officials warn of severe flooding,0.0
virus update got me stressed,Officials report outbreak of new virus strain,0.9
our poor bbq not only did the windstorm and people are still acting normal 🚨,years 53pm earthquake struck haiti picentre is giving no cap,0.05
skibidi ohio rizz is crazy,everybody stay safe after seeing the view from the farm just now 16 🌧️,0.0
this is so brainrot i cant,"WEATHER ALERT: Severe Thunderstorm Warning including Hohenwald TN, Waynesboro TN until 8:15 PM CST",0.0
bro cant believe this 😳,this headline really said charged north east motorists crash boulders and expected us to be normal,0.05
goofy ahh moment fr,lavrov the libyan statehood was bombed by nato and people are still acting normal 🚨,0.0
new covid variant spreading fr,WHO monitors new virus strain,0.95
plane news getting worse 💥,"Venice’s worst flood happened in 1966. At the time, experts thought the flood was a once-in-800 year event. November’s flood…",0.9
markets are tanking rn,Stock market sees sharp decline,0.92
nah this fire news is insane 🔥,Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…,0.9
nah this storm news is insane ⛈️,"A STRONG THUNDERSTORM WILL AFFECT SOUTHERN SUNFLOWER, SOUTHERN WASHINGTON, NORTH CENTRAL ISSAQUENA, HUMPHREYS AND N…",0.9
delulu timeline is undefeated,"omg Who attacked Iran out of reason and breached their sovereignty, actually threatenin… 😳",0.0
everybody stay safe after seeing unian info the ukrainian plane 737 that crashed 🚨,"So Killing of Iran general was planned since june, Iran attacked Iraq embassy with people and missiles…",0.9
nah this fire news is insane 🔥,Germany's Foreign Minister Heiko Maas says 'It must be assumed the airplane crash in Iran was a terrible accident.,0.9
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
timeline is in chaos rn 😭,Puerto Rico is getting hit on the 10th anniversary of the earthquake that flattened Haiti. Could be the Caribbean…,0.9
only in ohio bro im crying,Officials warn of severe flooding,0.0
this storm path is scary and nobody was ready for this 🌧️,aarp blasted touch past prime but make it a meme page post,0.05
